"id","author","pub.year","title","inc.abst.ahe","inc.abst.sem","inc.full.read","reason","found.by.ref","country","coding.sys","sepsis.def","org.fail.def","data.source","sample.frac.n.units","stud.pop.size","ex.crit.A","ex.crit.B","ex.crit.C","int.valid","study.year.1","study.year.2","study.year.3","study.year.4","study.year.5","study.year.6","study.year.7","study.year.8","study.year.9","study.year.10","study.year.11","avg.age.1","avg.age.2","avg.age.3","avg.age.4","avg.age.5","avg.age.6","avg.age.7","avg.age.8","avg.age.9","avg.age.10","avg.age.11","incid.1","incid.2","incid.3","incid.4","incid.5","incid.6","incid.7","incid.8","incid.9","incid.10","incid.11","severe.incid.1","severe.incid.2","severe.incid.3","severe.incid.4","severe.incid.5","severe.incid.6","severe.incid.7","severe.incid.8","severe.incid.9","severe.incid.10","severe.incid.11","note"
"14","Alarcon, Ana; Pena, Pilar; Salas, Sofia; Sancha, Marta; Omenaca, Felix",2004,"Neonatal early onset Escherichia coli sepsis: trends in incidence and antimicrobial resistance in the era of intrapartum antimicrobial prophylaxis.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alberti, Corinne; Brun-Buisson, Christian; Burchardi, Hilmar; Martin, Claudio; Goodman, Sergey; Artigas, Antonio; Sicignano, Alberto; Palazzo, Mark; Moreno, Rui; Boulme, Ronan; Lepage, Eric; Le Gall, Roger",2002,"Epidemiology of sepsis and infection in ICU patients from an international multicentre cohort study.",0,0,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alberti, Corinne; Brun-Buisson, Christian; Chevret, Sylvie; Antonelli, Massimo; Goodman, Sergey V.; Martin, Claudio; Moreno, Rui; Ochagavia, Ana R.; Palazzo, Mark; Werdan, Karl; Le Gall, Jean Roger",2005,"Systemic inflammatory response and progression to severe sepsis in critically ill infected patients.",0,0,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aledo, A.; Heller, G.; Ren, L.; Gardner, S.; Dunkel, I.; McKay, S. W.; Flombaum, C.; Brown, A. E.",1998,"Septicemia and septic shock in pediatric patients: 140 consecutive cases on a pediatric hematology-oncology service.",0,0,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Almeida, Luiz Mauricio Costa; Diniz, Michelle dos Santos; Diniz, Lorena dos Santos; Machado-Pinto, Jackson; Silva, Francisco Chagas Lima",2013,"Comparative study of the prevalence of sepsis in patients admitted to dermatology and internal medicine wards.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Almog, Yaniv",2003,"Statins, inflammation, and sepsis: hypothesis.",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Al-Taiar, Abdullah; Hammoud, Majeda S.; Thalib, Lukman; Isaacs, David",2011,"Pattern and etiology of culture-proven early-onset neonatal sepsis: a five-year prospective study.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Amrein, Karin; Zajic, Paul; Schnedl, Christian; Waltensdorfer, Andreas; Fruhwald, Sonja; Holl, Alexander; Purkart, Tadeja; Wunsch, Gerit; Valentin, Thomas; Grisold, Andrea; Stojakovic, Tatjana; Amrein, Steven; Pieber, Thomas R.; Dobnig, Harald",2014,"Vitamin D status and its association with season, hospital and sepsis mortality in critical illness.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Angus, D. C.; Linde-Zwirble, W. T.; Lidicker, J.; Clermont, G.; Carcillo, J.; Pinsky, M. R.",2001,"Epidemiology of severe sepsis in the United States: analysis of incidence, outcome, and associated costs of care.",1,1,1,NA,0,"USA","ICD9",NA,NA,"Constructed database",0.25,6621559,NA,NA,NA,1,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Angus, D. C.; Wax, R. S.",2001,"Epidemiology of sepsis: an update.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Angus, Derek C.; Pereira, Carlos Alberto Pires; Silva, Eliezer",2006,"Epidemiology of severe sepsis around the world.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Anunnatsiri, Siriluck; Towiwat, Patapong; Chaimanee, Prajuab",2012,"Risk factors and clinical outcomes of extended spectrum beta-lactamase (ESBL)-producing Escherichia coli septicemia at Srinagarind University Hospital,  Thailand.",0,0,NA,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Araujo, Helton Fernandes; Campos, Patricia Cota; Camargo, Dhian Renato Almeida; Pereira, Filippe Nonato Roberto; Samuel, Michelle Lara; Oliveira, Marluce Aparecida Assuncao; Fortes-Dias, Consuelo Latorre; Leclercq, Sophie Yvette",2012,"Immune response and protective efficacy of S9 ribosomal protein of Streptococcus  pneumoniae in a model of sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ARISE;  ANZICS APD",2007,"The outcome of patients with sepsis and septic shock presenting to emergency departments in Australia and New Zealand.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Arnold, Ryan C.; Sherwin, Robert; Shapiro, Nathan I.; O'Connor, Jennifer L.; Glaspey, Lindsey; Singh, Sam; Medado, Patrick; Trzeciak, Stephen; Jones, Alan E.",2013,"Multicenter observational study of the development of progressive organ dysfunction and therapeutic interventions in normotensive sepsis patients in the  emergency department.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Arnow, P. M.; Quimosing, E. M.; Beach, M.",1993,"Consequences of intravascular catheter sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Arons, M. M.; Wheeler, A. P.; Bernard, G. R.; Christman, B. W.; Russell, J. A.; Schein, R.; Summer, W. R.; Steinberg, K. P.; Fulkerson, W.; Wright, P.; Dupont, W. D.; Swindell, B. B.",1999,"Effects of ibuprofen on the physiology and survival of hypothermic sepsis. Ibuprofen in Sepsis Study Group.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ascher, S. B.; Smith, P. B.; Clark, R. H.; Cohen-Wolkowiez, M.; Li, J. S.; Watt, K.; Jacqz-Aigrain, E.; Kaguelidou, F.; Manzoni, P.; Benjamin, D. K. Jr",2012,"Sepsis in young infants with congenital heart disease.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Awad, H.; Mokhtar, H.; Imam, S. S.; Gad, G. I.; Hafez, H.; Aboushady, N.",2010,"Comparison between killed and living probiotic usage versus placebo for the prevention of necrotizing enterocolitis and sepsis in neonates.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Axtelle, Tim; Pribble, John",2003,"An overview of clinical studies in healthy subjects and patients with severe sepsis with IC14, a CD14-specific chimeric monoclonal antibody.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Ayala-Ramirez, O. H.; Dominguez-Berjon, M. F.; Esteban-Vasallo, M. D.",2014,"Trends in hospitalizations of patients with sepsis and factors associated with inpatient mortality in the Region of Madrid, 2003-2011.",1,0,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Baghel, Kavita; Srivastava, Rajeshwar Nath; Chandra, Abhijit; Raj, Saloni; Goel, Sudhir K.; Pant, Aditya Bhusan; Agrawal, Jyotsna",2014,"Tumor necrosis factor-beta Nco1 polymorphism and susceptibility to sepsis following major elective surgery.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Bagshaw, Sean M.; George, Carol; Bellomo, Rinaldo",2008,"Early acute kidney injury and sepsis: a multicentre evaluation.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Baharoon, Salim; Al-Jahdali, Hamdan; Al Hashmi, Jamal; Memish, Ziad A.; Ahmed, Qanta A.",2009,"Severe sepsis and septic shock at the Hajj: etiologies and outcomes.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Bako, Babagana; Audu, Bala M.; Lawan, Zara Mairam; Umar, Jidda Baba",2012,"Risk factors and microbial isolates of puerperal sepsis at the University of Maiduguri Teaching Hospital, Maiduguri, North-eastern Nigeria.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Balk, Robert A.",2004,"Optimum treatment of severe sepsis and septic shock: evidence in support of the recommendations.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ballester, Juan Carlo Andreus; Ballester, Ferran; Gonzalez Sanchez, Antonio; Almela Quilis, Amadeo; Colomer Rubio, Enrique; Penarroja Otero, Carlos",2008,"Epidemiology of sepsis in the Valencian Community (Spain), 1995-2004.",1,1,0,18,0,"Spain","ICD9",NA,NA,"Constructed database",1,NA,NA,NA,NA,0,1995,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sepsis incidence in general population reportet in discussion but there is not mentioned in neither method or results section leading to concerns about computations."
"41","Barker, G. J.; Call, S. K.; Gamis, A. S.",1995,"Oral care with vancomycin paste for reduction in incidence of alpha-hemolytic streptococcal sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Barnato, Amber E.; Alexander, Sherri L.; Linde-Zwirble, Walter T.; Angus, Derek C.",2008,"Racial variation in the incidence, care, and outcomes of severe sepsis: analysis  of population, patient, and hospital characteristics.",1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Bartlett, J. G.; Onderdonk, A. B.; Louie, T.; Kasper, D. L.; Gorbach, S. L.",1978,"A review. Lessons from an animal model of intra-abdominal sepsis.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Barton, Phil; Kalil, Andre C.; Nadel, Simon; Goldstein, Brahm; Okhuysen-Cawley, Regina; Brilli, Richard J.; Takano, Jeanne S.; Martin, Lynn D.; Quint, Peter; Yeh, Timothy S.; Dalton, Heidi J.; Gessouron, Morris R.; Brown, Kellie E.; Betts, Helen; Levin, Michael; Macias, William L.; Small, David S.; Wyss, Virginia L.; Bates, Becky M.; Utterback, Barbara G.; Giroir, Brett P.",2004,"Safety, pharmacokinetics, and pharmacodynamics of drotrecogin alfa (activated) in children with severe sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
